,X,y
0,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/5c556a2dc319fceb3bc915649905131f_3.png,default.mask.png
1,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/6e260b6fc299cca97a047a268d1a4a4f_1.png,default.mask.png
2,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/bcbc7bef972e1b0ad0ebf8d4781aba31_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/bcbc7bef972e1b0ad0ebf8d4781aba31_6.mask.png
3,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b62f85cc6ec8d3ee50311876561418fb_2.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b62f85cc6ec8d3ee50311876561418fb_2.mask.png
4,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4a8c2e0abef055ffc7f8d88c93c8ff65_3.png,default.mask.png
5,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b1bc3b7d2942eda3e73788c489e95d13_6.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b1bc3b7d2942eda3e73788c489e95d13_6.mask.png
6,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/1f7680e69568ce9b53e8f1c5b5474376_3.png,default.mask.png
7,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/pristine/4e0cbbca5cea7e4e596731888eaf2c8d_1.png,default.mask.png
8,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/364f0d4ece36860de6c2ad8cf943b800_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/364f0d4ece36860de6c2ad8cf943b800_0.mask.png
9,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d13e3749938f9bcd3945bed229d40bb7_0.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/d13e3749938f9bcd3945bed229d40bb7_0.mask.png
10,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b1ab7bc3fe7e57cc7a1beb3edd00a1e2_5.png,D:/collage/Sem 4/Intership/Image-forgery-localization-IFL-using-UNET-architecture-master/data_agumented/train/fake/b1ab7bc3fe7e57cc7a1beb3edd00a1e2_5.mask.png
